subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0323_130pm,1521826173853078,1521826815522507,All_of_Practice_trial_1,1,0.5464674,0.4878981,1,0.4008567,0.5322194
Adult_0323_130pm,1521826173869706,1521826815539136,All_of_Practice_trial_1,1,0.5550898,0.4846509,1,0.3979478,0.5380535
Adult_0323_130pm,1521826173886331,1521826815555762,All_of_Practice_trial_1,1,0.5498059,0.4925683,1,0.3952958,0.5355639
Adult_0323_130pm,1521826173902970,1521826815572402,All_of_Practice_trial_1,1,0.5456936,0.5002327,1,0.4101708,0.53759
Adult_0323_130pm,1521826173919707,1521826815589140,All_of_Practice_trial_1,1,0.5517355,0.4864429,1,0.3978753,0.5434002
Adult_0323_130pm,1521826173936335,1521826815605769,All_of_Practice_trial_1,1,0.54942,0.5005065,1,0.3992218,0.5438594
Adult_0323_130pm,1521826173952959,1521826815622394,All_of_Practice_trial_1,1,0.5490681,0.4890768,1,0.4111006,0.5448944
Adult_0323_130pm,1521826173969585,1521826815639021,All_of_Practice_trial_1,1,0.5384662,0.4701452,1,0.3815996,0.5220037
Adult_0323_130pm,1521826173986335,1521826815655773,All_of_Practice_trial_1,1,0.438612,0.3947805,1,0.2973816,0.4382814
Adult_0323_130pm,1521826174002959,1521826815672397,All_of_Practice_trial_1,1,0.4274364,0.3842876,1,0.2791435,0.4269016
Adult_0323_130pm,1521826174019584,1521826815689024,All_of_Practice_trial_1,1,0.4244684,0.3993266,1,0.2786365,0.4330515
Adult_0323_130pm,1521826174036210,1521826815705651,All_of_Practice_trial_1,1,0.4291711,0.3895079,1,0.2799382,0.4343548
Adult_0323_130pm,1521826174052836,1521826815722278,All_of_Practice_trial_1,1,0.4228548,0.39994,1,0.2792343,0.4244961
Adult_0323_130pm,1521826174069587,1521826815739030,All_of_Practice_trial_1,1,0.4318239,0.3802366,1,0.2808419,0.431527
Adult_0323_130pm,1521826174086212,1521826815755656,All_of_Practice_trial_1,1,0.4266838,0.3974309,1,0.2888259,0.4408819
Adult_0323_130pm,1521826174102840,1521826815772285,All_of_Practice_trial_1,1,0.4233062,0.3965759,1,0.2750427,0.4391366
Adult_0323_130pm,1521826174119466,1521826815788912,All_of_Practice_trial_1,1,0.4331763,0.3966349,1,0.287188,0.4335879
Adult_0323_130pm,1521826174136216,1521826815805663,All_of_Practice_trial_1,1,0.431114,0.3898261,1,0.2790852,0.4317055
Adult_0323_130pm,1521826174152838,1521826815822286,All_of_Practice_trial_1,1,0.4243184,0.4013657,1,0.2786157,0.4367878
Adult_0323_130pm,1521826174169468,1521826815838917,All_of_Practice_trial_1,1,0.4373541,0.4269225,1,0.2696984,0.4879074
Adult_0323_130pm,1521826174186097,1521826815855547,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174202715,1521826815872167,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174219465,1521826815888917,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174236092,1521826815905546,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174252717,1521826815922172,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174269345,1521826815938801,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174286096,1521826815955553,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174302719,1521826815972177,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174319385,1521826815988844,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0323_130pm,1521826174335973,1521826816005433,All_of_Practice_trial_1,1,0.400174,0.3923394,1,0.2537999,0.4228061
Adult_0323_130pm,1521826174352598,1521826816022059,All_of_Practice_trial_1,1,0.411202,0.3938313,1,0.2665269,0.4354124
Adult_0323_130pm,1521826174369347,1521826816038809,All_of_Practice_trial_1,1,0.3981653,0.3759468,1,0.2379054,0.4345022
Adult_0323_130pm,1521826174385971,1521826816055434,All_of_Practice_trial_1,1,0.3989504,0.3797982,1,0.2360519,0.4312042
Adult_0323_130pm,1521826174402596,1521826816072060,All_of_Practice_trial_1,1,0.395364,0.3905424,1,0.2404691,0.4102514
Adult_0323_130pm,1521826174419234,1521826816088699,All_of_Practice_trial_1,1,0.3984336,0.377524,1,0.2405165,0.4203348
Adult_0323_130pm,1521826174435984,1521826816105450,All_of_Practice_trial_1,1,0.4003137,0.3951866,1,0.2362342,0.4254243
Adult_0323_130pm,1521826174452598,1521826816122065,All_of_Practice_trial_1,1,0.3966201,0.3932433,1,0.2446857,0.425581
Adult_0323_130pm,1521826174469239,1521826816138707,All_of_Practice_trial_1,1,0.4041569,0.3853616,1,0.2408178,0.4321955
Adult_0323_130pm,1521826174485852,1521826816155322,All_of_Practice_trial_1,1,0.4004006,0.3864646,1,0.2439449,0.4135629
Adult_0323_130pm,1521826174502476,1521826816171946,All_of_Practice_trial_1,1,0.400304,0.3884498,1,0.245257,0.4149832
Adult_0323_130pm,1521826174519228,1521826816188699,All_of_Practice_trial_1,1,0.4014381,0.3809875,1,0.2485432,0.4190687
Adult_0323_130pm,1521826174535852,1521826816205324,All_of_Practice_trial_1,1,0.3945061,0.3813908,1,0.2458122,0.4102289
Adult_0323_130pm,1521826174552475,1521826816221949,All_of_Practice_trial_1,1,0.3958458,0.3839541,1,0.2460645,0.4180752
Adult_0323_130pm,1521826174569101,1521826816238575,All_of_Practice_trial_1,1,0.3988994,0.3805005,1,0.2435506,0.4167235
Adult_0323_130pm,1521826174585853,1521826816255329,All_of_Practice_trial_1,1,0.3995853,0.3841697,1,0.2487175,0.42206
Adult_0323_130pm,1521826174602478,1521826816271955,All_of_Practice_trial_1,1,0.3983593,0.3930122,1,0.2478175,0.4142707
Adult_0323_130pm,1521826174619105,1521826816288583,All_of_Practice_trial_1,1,0.403226,0.386781,1,0.2479641,0.4152741
Adult_0323_130pm,1521826174635730,1521826816305209,All_of_Practice_trial_1,1,0.3962619,0.3937858,1,0.2467034,0.4194795
Adult_0323_130pm,1521826174652355,1521826816321835,All_of_Practice_trial_1,1,0.3970284,0.3931971,1,0.2483043,0.4209953
Adult_0323_130pm,1521826174669113,1521826816338593,All_of_Practice_trial_1,1,0.3990133,0.381539,1,0.2493444,0.4150537
Adult_0323_130pm,1521826174685731,1521826816355213,All_of_Practice_trial_1,1,0.3959303,0.3838118,1,0.2487979,0.414694
Adult_0323_130pm,1521826174702357,1521826816371840,All_of_Practice_trial_1,1,0.396816,0.4025802,1,0.2494312,0.4360282
Adult_0323_130pm,1521826174718984,1521826816388468,All_of_Practice_trial_1,1,0.3966545,0.3945057,1,0.2455956,0.420441
Adult_0323_130pm,1521826174735733,1521826816405218,All_of_Practice_trial_1,1,0.3978569,0.393705,1,0.2435697,0.4204952
Adult_0323_130pm,1521826174752357,1521826816421843,All_of_Practice_trial_1,1,0.4014139,0.3750551,1,0.2443084,0.4194167
Adult_0323_130pm,1521826174768983,1521826816438470,All_of_Practice_trial_1,1,0.4016645,0.3805454,1,0.2418806,0.418527
Adult_0323_130pm,1521826174785610,1521826816455098,All_of_Practice_trial_1,1,0.3172164,0.2686629,1,0.1610389,0.2858291
Adult_0323_130pm,1521826174802247,1521826816471736,All_of_Practice_trial_1,1,0.2728705,0.1078549,1,0.1107611,0.0793498
Adult_0323_130pm,1521826174818990,1521826816488480,All_of_Practice_trial_1,1,0.2373531,0.086601,1,0.07016987,0.05731393
Adult_0323_130pm,1521826174835611,1521826816505102,All_of_Practice_trial_1,1,0.2364532,0.08421604,1,0.07336231,0.04719376
Adult_0323_130pm,1521826174852250,1521826816521742,All_of_Practice_trial_1,1,0.2346003,0.0856412,1,0.07342771,0.05750375
Adult_0323_130pm,1521826174868859,1521826816538352,All_of_Practice_trial_1,1,0.2402522,0.08442941,1,0.06797759,0.0422919
Adult_0323_130pm,1521826174885614,1521826816555108,All_of_Practice_trial_1,1,0.2417409,0.09094904,1,0.07266917,0.0433842
Adult_0323_130pm,1521826174902253,1521826816571749,All_of_Practice_trial_1,1,0.2486297,0.09845161,1,0.06073121,0.04559752
Adult_0323_130pm,1521826174918869,1521826816588365,All_of_Practice_trial_1,1,0.2379372,0.04761668,1,0.09595399,0.01766284
Adult_0323_130pm,1521826174935488,1521826816604986,All_of_Practice_trial_1,1,0.2318619,0.04964389,1,0.09030852,0.03419804
Adult_0323_130pm,1521826174952114,1521826816621612,All_of_Practice_trial_1,1,0.1502832,-0.0304881,1,0.02414555,-0.005671179
Adult_0323_130pm,1521826174968864,1521826816638364,All_of_Practice_trial_1,1,0.1521826,-0.06292304,1,0.02748745,-0.009648896
Adult_0323_130pm,1521826174985489,1521826816654989,All_of_Practice_trial_1,1,0.1473006,-0.05923079,1,0.0140591,-0.00657273
Adult_0323_130pm,1521826175002115,1521826816671617,All_of_Practice_trial_1,1,0.1440245,-0.05413573,1,0.01999876,-0.01129302
Adult_0323_130pm,1521826175018741,1521826816688243,All_of_Practice_trial_1,1,0.1397965,-0.05379872,1,0.02478283,-0.009290691
Adult_0323_130pm,1521826175035492,1521826816704996,All_of_Practice_trial_1,1,0.1455099,-0.05894263,1,0.02595922,-0.01009263
Adult_0323_130pm,1521826175052118,1521826816721622,All_of_Practice_trial_1,1,0.1480149,-0.05883815,1,0.02931093,-0.0101366
Adult_0323_130pm,1521826175068743,1521826816738249,All_of_Practice_trial_1,1,0.1528676,-0.04963113,1,0.0227509,-0.01348579
Adult_0323_130pm,1521826175085369,1521826816754875,All_of_Practice_trial_1,1,0.1504327,-0.04395676,1,0.01830237,-0.01222468
Adult_0323_130pm,1521826175102014,1521826816771522,All_of_Practice_trial_1,1,0.1459722,-0.03807595,1,0.02184824,-0.004659049
Adult_0323_130pm,1521826175118745,1521826816788253,All_of_Practice_trial_1,1,0.1500785,-0.04037818,1,0.02398382,-0.01192834
Adult_0323_130pm,1521826175135371,1521826816804881,All_of_Practice_trial_1,1,0.1479689,-0.0410173,1,0.02337779,-0.006473658
Adult_0323_130pm,1521826175151995,1521826816821505,All_of_Practice_trial_1,1,0.151231,-0.04493381,1,0.02923137,-0.00961687
Adult_0323_130pm,1521826175168621,1521826816838133,All_of_Practice_trial_1,1,0.1491296,-0.04333742,1,0.03332967,-0.01518084
Adult_0323_130pm,1521826175185373,1521826816854885,All_of_Practice_trial_1,1,0.1558439,-0.04308312,1,0.02329606,-0.006304296
Adult_0323_130pm,1521826175202014,1521826816871528,All_of_Practice_trial_1,1,0.1541753,-0.0347646,1,0.02596473,-0.007921071
Adult_0323_130pm,1521826175218623,1521826816888137,All_of_Practice_trial_1,1,0.154001,-0.03658941,1,0.02041016,-0.01130659
Adult_0323_130pm,1521826175235249,1521826816904765,All_of_Practice_trial_1,1,0.1619528,-0.02837019,1,0.02545631,-0.02038582
Adult_0323_130pm,1521826175251876,1521826816921392,All_of_Practice_trial_1,1,0.1478538,-0.01952473,1,0.01543132,-0.01077705
Adult_0323_130pm,1521826175268627,1521826816938145,All_of_Practice_trial_1,1,0.1516982,-0.0306471,1,0.02695757,-0.01754434
Adult_0323_130pm,1521826175285250,1521826816954768,All_of_Practice_trial_1,1,0.157625,-0.01796057,1,0.02376035,-0.02486557
Adult_0323_130pm,1521826175301876,1521826816971396,All_of_Practice_trial_1,1,0.1620422,-0.01497292,1,0.02300451,-0.01370176
Adult_0323_130pm,1521826175318500,1521826816988021,All_of_Practice_trial_1,1,0.1596786,-0.00712987,1,0.02451296,-0.01259387
Adult_0323_130pm,1521826175335251,1521826817004773,All_of_Practice_trial_1,1,0.1588105,-0.01142906,1,0.02101209,-0.02347048
Adult_0323_130pm,1521826175351876,1521826817021399,All_of_Practice_trial_1,1,0.1578127,-0.01225181,1,0.02453201,-0.02572172
Adult_0323_130pm,1521826175368502,1521826817038026,All_of_Practice_trial_1,1,0.1612747,-0.007158349,1,0.02007533,-0.02124139
Adult_0323_130pm,1521826175385128,1521826817054653,All_of_Practice_trial_1,1,0.1554641,-0.02198176,1,0.02447603,-0.02087596
Adult_0323_130pm,1521826175401753,1521826817071279,All_of_Practice_trial_1,1,0.1641674,-0.01872003,1,0.02223937,-0.01441193
Adult_0323_130pm,1521826175418506,1521826817088033,All_of_Practice_trial_1,1,0.1581474,-0.01961867,1,0.02052436,-0.01590957
Adult_0323_130pm,1521826175435131,1521826817104659,All_of_Practice_trial_1,1,0.1607486,-0.02215131,1,0.01416924,-0.03510657
Adult_0323_130pm,1521826175451755,1521826817121284,All_of_Practice_trial_1,1,0.1522377,-0.01052233,1,0.01466771,-0.02099804
Adult_0323_130pm,1521826175468379,1521826817137909,All_of_Practice_trial_1,1,0.1541322,-0.00723721,1,0.02458479,-0.02155578
Adult_0323_130pm,1521826175485130,1521826817154661,All_of_Practice_trial_1,1,0.1540579,-0.0160872,1,0.01470752,-0.02381381
Adult_0323_130pm,1521826175501756,1521826817171288,All_of_Practice_trial_1,1,0.1556922,-0.01445882,1,0.01911108,-0.02863694
Adult_0323_130pm,1521826175518381,1521826817187914,All_of_Practice_trial_1,1,0.1541884,-0.01206714,1,0.02699704,-0.02180081
Adult_0323_130pm,1521826175535006,1521826817204540,All_of_Practice_trial_1,1,0.1571549,-0.01528365,1,0.0240218,-0.02319928
Adult_0323_130pm,1521826175551633,1521826817221168,All_of_Practice_trial_1,1,0.147088,-0.0113324,1,0.02054951,-0.02947687
Adult_0323_130pm,1521826175568383,1521826817237919,All_of_Practice_trial_1,1,0.1507713,-0.008961078,1,0.006010435,-0.03380886
Adult_0323_130pm,1521826175585010,1521826817254547,All_of_Practice_trial_1,1,0.157362,-0.01007419,1,0.01824531,-0.0261303
Adult_0323_130pm,1521826175601636,1521826817271174,All_of_Practice_trial_1,1,0.1626904,-0.007181948,1,0.01969599,-0.03075569
Adult_0323_130pm,1521826175618260,1521826817287799,All_of_Practice_trial_1,1,0.1591849,-0.0002431924,1,0.01460778,-0.02649625
Adult_0323_130pm,1521826175635011,1521826817304551,All_of_Practice_trial_1,1,0.152179,-0.005240921,1,0.01977275,-0.02424675
Adult_0323_130pm,1521826175651635,1521826817321176,All_of_Practice_trial_1,1,0.1712332,-0.003433645,1,0.02418549,-0.02587486
Adult_0323_130pm,1521826175668260,1521826817337801,All_of_Practice_trial_1,1,0.1632389,-0.0005019233,1,0.0231586,-0.02324721
Adult_0323_130pm,1521826175684893,1521826817354436,All_of_Practice_trial_1,1,0.161082,-0.005845081,1,0.02668975,-0.02353491
Adult_0323_130pm,1521826175701511,1521826817371056,All_of_Practice_trial_1,1,0.1574397,0.003481045,1,0.0228123,-0.03068202
Adult_0323_130pm,1521826175718262,1521826817387807,All_of_Practice_trial_1,1,0.1599729,-0.00380704,1,0.0263551,-0.02447408
Adult_0323_130pm,1521826175734886,1521826817404432,All_of_Practice_trial_1,1,0.1534006,-0.002432448,1,0.01566169,-0.03648712
Adult_0323_130pm,1521826175751516,1521826817421063,All_of_Practice_trial_1,1,0.1491244,-0.003359172,1,0.01505415,-0.03362574
Adult_0323_130pm,1521826175768149,1521826817437698,All_of_Practice_trial_1,1,0.1562656,-0.006973986,1,0.0185297,-0.02769776
Adult_0323_130pm,1521826175784892,1521826817454442,All_of_Practice_trial_1,1,0.1527909,-0.004284173,1,-0.01428538,-0.1056836
Adult_0323_130pm,1521826175801516,1521826817471068,All_of_Practice_trial_1,1,0.1509789,0.003182157,1,0.02044772,-0.0266183
Adult_0323_130pm,1521826175818142,1521826817487695,All_of_Practice_trial_1,1,0.1585518,0.004834387,1,0.01998274,-0.03927674
Adult_0323_130pm,1521826175834765,1521826817504320,All_of_Practice_trial_1,1,0.1505004,-0.006521778,1,0.01284572,-0.03880412
Adult_0323_130pm,1521826175851391,1521826817520947,All_of_Practice_trial_1,1,0.1588835,-0.01089364,1,0.01711194,-0.03487908
Adult_0323_130pm,1521826175868147,1521826817537705,All_of_Practice_trial_1,1,0.1618661,-0.005630641,1,0.01289045,-0.03728399
Adult_0323_130pm,1521826175884765,1521826817554324,All_of_Practice_trial_1,1,0.1664443,0.00209452,1,0.02404558,-0.03260624
Adult_0323_130pm,1521826175901394,1521826817570955,All_of_Practice_trial_1,1,0.1612539,-0.005479924,1,0.02674598,-0.03218039
Adult_0323_130pm,1521826175918021,1521826817587583,All_of_Practice_trial_1,1,0.162111,-0.003063903,1,0.03023382,-0.02370787
Adult_0323_130pm,1521826175934770,1521826817604334,All_of_Practice_trial_1,1,0.1633464,-0.01102061,1,0.01458206,-0.03407349
Adult_0323_130pm,1521826175951395,1521826817620960,All_of_Practice_trial_1,1,0.1664478,0.002254786,1,0.02054482,-0.03913625
Adult_0323_130pm,1521826175968021,1521826817637588,All_of_Practice_trial_1,1,0.1622998,-0.007893504,1,0.02305845,-0.04014799
Adult_0323_130pm,1521826175984646,1521826817654214,All_of_Practice_trial_1,1,0.1634167,-0.00221718,1,0.0233627,-0.03159839
Adult_0323_130pm,1521826176001273,1521826817670843,All_of_Practice_trial_1,1,0.1666459,-0.004124867,1,0.02093954,-0.03271809
Adult_0323_130pm,1521826176018021,1521826817687592,All_of_Practice_trial_1,1,0.1602374,0.005358787,1,0.02118571,-0.02811192
Adult_0323_130pm,1521826176034648,1521826817704221,All_of_Practice_trial_1,1,0.1630557,-0.0009628361,1,0.02622704,-0.01903963
Adult_0323_130pm,1521826176051272,1521826817720846,All_of_Practice_trial_1,1,0.1688852,-0.001370203,1,0.02741567,-0.03068389
Adult_0323_130pm,1521826176067898,1521826817737474,All_of_Practice_trial_1,1,0.1631361,0.007917739,1,0.02015829,-0.03464684
Adult_0323_130pm,1521826176084649,1521826817754226,All_of_Practice_trial_1,1,0.1656801,0.008313521,1,0.02499515,-0.03508899
Adult_0323_130pm,1521826176101276,1521826817770855,All_of_Practice_trial_1,1,0.1675077,0.004309248,1,0.02148352,-0.03071103
Adult_0323_130pm,1521826176117900,1521826817787481,All_of_Practice_trial_1,1,0.1699497,0.008324559,1,0.02243842,-0.03036526
Adult_0323_130pm,1521826176134526,1521826817804108,All_of_Practice_trial_1,1,0.1653808,0.009334622,1,0.02058261,-0.03281154
Adult_0323_130pm,1521826176151277,1521826817820861,All_of_Practice_trial_1,1,0.1563132,0.0049989,1,0.02261987,-0.04689755
Adult_0323_130pm,1521826176167902,1521826817837487,All_of_Practice_trial_1,1,0.1655077,-0.0002083991,1,0.01926821,-0.03667529
Adult_0323_130pm,1521826176184529,1521826817854116,All_of_Practice_trial_1,1,0.1601145,-0.002483258,1,0.03000359,-0.03212683
Adult_0323_130pm,1521826176201160,1521826817870748,All_of_Practice_trial_1,1,0.1496855,-0.00312998,1,0.007059487,-0.04308138
Adult_0323_130pm,1521826176217777,1521826817887367,All_of_Practice_trial_1,1,0.1433121,-0.0183666,1,0.01145863,-0.05036112
Adult_0323_130pm,1521826176234531,1521826817904122,All_of_Practice_trial_1,1,0.1503978,-0.0129043,1,-0.001860148,-0.05185297
Adult_0323_130pm,1521826176251156,1521826817920749,All_of_Practice_trial_1,1,0.1505539,-0.01519901,1,0.002436972,-0.05336154
Adult_0323_130pm,1521826176267779,1521826817937373,All_of_Practice_trial_1,1,0.1490411,-0.03291305,1,0.004361354,-0.05866632
Adult_0323_130pm,1521826176284404,1521826817954000,All_of_Practice_trial_1,1,0.1407842,-0.02596052,1,0.01002235,-0.05107326
Adult_0323_130pm,1521826176301158,1521826817970755,All_of_Practice_trial_1,1,0.1424318,-0.02104978,1,0.01025299,-0.03995054
Adult_0323_130pm,1521826176317781,1521826817987380,All_of_Practice_trial_1,1,0.1488807,-0.02419245,1,0.01289307,-0.04561721
Adult_0323_130pm,1521826176334407,1521826818004007,All_of_Practice_trial_1,1,0.1505392,-0.03770006,1,0.01527954,-0.05419256
Adult_0323_130pm,1521826176351033,1521826818020635,All_of_Practice_trial_1,1,0.1479713,-0.02035693,1,0.01195856,-0.05297231
Adult_0323_130pm,1521826176367658,1521826818037261,All_of_Practice_trial_1,1,0.1471778,-0.01676567,1,0.0112515,-0.05622878
Adult_0323_130pm,1521826176384407,1521826818054012,All_of_Practice_trial_1,1,0.144087,-0.02213884,1,0.01071441,-0.06314117
Adult_0323_130pm,1521826176401046,1521826818070652,All_of_Practice_trial_1,1,0.1431423,-0.01390427,1,-0.001451933,-0.063278
Adult_0323_130pm,1521826176417660,1521826818087268,All_of_Practice_trial_1,1,0.1466785,-0.02345846,1,0.008423947,-0.05822553
Adult_0323_130pm,1521826176434286,1521826818103895,All_of_Practice_trial_1,1,0.1487039,-0.02525502,1,0.001775524,-0.05986563
Adult_0323_130pm,1521826176450917,1521826818120528,All_of_Practice_trial_1,1,0.1412432,-0.02382822,1,0.01626063,-0.05851256
Adult_0323_130pm,1521826176467671,1521826818137283,All_of_Practice_trial_1,1,0.1439886,-0.01218175,1,0.01293694,-0.05322266
Adult_0323_130pm,1521826176484286,1521826818153900,All_of_Practice_trial_1,1,0.1476815,-0.01864736,1,0.01201331,-0.03650321
Adult_0323_130pm,1521826176500929,1521826818170544,All_of_Practice_trial_1,1,0.1385426,-0.02081342,1,0.005158062,-0.05770481
Adult_0323_130pm,1521826176517538,1521826818187155,All_of_Practice_trial_1,1,0.1416495,-0.01960598,1,0.007878025,-0.05454342
Adult_0323_130pm,1521826176534290,1521826818203909,All_of_Practice_trial_1,1,0.1479646,-0.01582657,1,0.009042731,-0.05107084
Adult_0323_130pm,1521826176550921,1521826818220541,All_of_Practice_trial_1,1,0.1441206,-0.01513936,1,-0.001929455,-0.05272152
Adult_0323_130pm,1521826176567538,1521826818237160,All_of_Practice_trial_1,1,0.1359454,-0.02793335,1,0.01322835,-0.0534327
Adult_0323_130pm,1521826176584166,1521826818253789,All_of_Practice_trial_1,1,0.1417058,-0.02457215,1,0.01191905,-0.05103725
Adult_0323_130pm,1521826176600790,1521826818270415,All_of_Practice_trial_1,1,0.139221,-0.03061091,1,0.008169834,-0.05331908
Adult_0323_130pm,1521826176617541,1521826818287167,All_of_Practice_trial_1,1,0.1404675,-0.01962725,1,0.01053192,-0.06320633
Adult_0323_130pm,1521826176634165,1521826818303793,All_of_Practice_trial_1,1,0.1413894,-0.03156751,1,0.006738238,-0.05980022
Adult_0323_130pm,1521826176650791,1521826818320420,All_of_Practice_trial_1,1,0.1400054,-0.02796758,1,0.006186586,-0.06218943
Adult_0323_130pm,1521826176667417,1521826818337048,All_of_Practice_trial_1,1,0.1472476,-0.02412282,1,0.006515662,-0.06038884
Adult_0323_130pm,1521826176684168,1521826818353800,All_of_Practice_trial_1,1,0.1428298,-0.01755683,1,0.002889872,-0.05956356
Adult_0323_130pm,1521826176700793,1521826818370427,All_of_Practice_trial_1,1,0.1464453,-0.02678408,1,0.009164097,-0.04490084
Adult_0323_130pm,1521826176717421,1521826818387056,All_of_Practice_trial_1,1,0.1573122,-0.0077251,1,0.01254628,-0.05482261
Adult_0323_130pm,1521826176734049,1521826818403686,All_of_Practice_trial_1,1,0.1422381,-0.02222212,1,0.00705932,-0.05292459
Adult_0323_130pm,1521826176750666,1521826818420304,All_of_Practice_trial_1,1,0.1410766,-0.01949919,1,-0.02245508,-0.1303536
Adult_0323_130pm,1521826176767420,1521826818437060,All_of_Practice_trial_1,1,0.1360238,-0.02020815,1,0.01238147,-0.06354807
Adult_0323_130pm,1521826176784046,1521826818453687,All_of_Practice_trial_1,1,0.1391854,-0.02517692,1,0.003183789,-0.06384343
Adult_0323_130pm,1521826176800670,1521826818470313,All_of_Practice_trial_1,1,0.1465037,-0.02490756,1,0.01495429,-0.04963634
Adult_0323_130pm,1521826176817296,1521826818486940,All_of_Practice_trial_1,1,0.1397292,-0.02169968,1,0.01188388,-0.06375915
Adult_0323_130pm,1521826176834047,1521826818503693,All_of_Practice_trial_1,1,0.1423007,-0.01902261,1,0.01528473,-0.04459735
Adult_0323_130pm,1521826176850672,1521826818520319,All_of_Practice_trial_1,1,0.1507572,-0.02169148,1,0.01697724,-0.05515078
Adult_0323_130pm,1521826176867298,1521826818536947,All_of_Practice_trial_1,1,0.1507961,-0.03052063,1,0.02605916,-0.04408374
Adult_0323_130pm,1521826176883924,1521826818553574,All_of_Practice_trial_1,1,0.1374631,-0.01376251,1,0.00617436,-0.05455235
Adult_0323_130pm,1521826176900550,1521826818570202,All_of_Practice_trial_1,1,0.1349792,-0.02085095,1,0.004547845,-0.05751527
Adult_0323_130pm,1521826176917294,1521826818586948,All_of_Practice_trial_1,1,0.1420363,-0.02360206,1,0.007277343,-0.0524821
Adult_0323_130pm,1521826176933925,1521826818603580,All_of_Practice_trial_1,1,0.1433383,-0.0205394,1,0.007146091,-0.05894959
Adult_0323_130pm,1521826176950550,1521826818620207,All_of_Practice_trial_1,1,0.1415958,-0.01430349,1,0.007545538,-0.06019897
Adult_0323_130pm,1521826176967175,1521826818636833,All_of_Practice_trial_1,1,0.136301,-0.02951729,1,0.0148361,-0.06084126
Adult_0323_130pm,1521826176983934,1521826818653594,All_of_Practice_trial_1,1,0.1359932,-0.02243909,1,0.007437041,-0.05939521
Adult_0323_130pm,1521826177000552,1521826818670213,All_of_Practice_trial_1,1,0.1463933,-0.0326132,1,0.007142391,-0.06593361
Adult_0323_130pm,1521826177017177,1521826818686840,All_of_Practice_trial_1,1,0.1434403,-0.02233127,1,0.0014658,-0.05524202
Adult_0323_130pm,1521826177033803,1521826818703467,All_of_Practice_trial_1,1,0.1329216,-0.02975013,1,0.01652519,-0.05771758
Adult_0323_130pm,1521826177050558,1521826818720224,All_of_Practice_trial_1,1,0.1399411,-0.02601026,1,0.01230644,-0.06254311
Adult_0323_130pm,1521826177067180,1521826818736847,All_of_Practice_trial_1,1,0.1426543,-0.02498547,1,0.009727864,-0.06101037
Adult_0323_130pm,1521826177083805,1521826818753474,All_of_Practice_trial_1,1,0.138627,-0.02523937,1,0.002834478,-0.06334522
Adult_0323_130pm,1521826177100432,1521826818770102,All_of_Practice_trial_1,1,0.131746,-0.02098538,1,0.003339976,-0.06212673
Adult_0323_130pm,1521826177117061,1521826818786733,All_of_Practice_trial_1,1,0.1337787,-0.02553356,1,-0.002607762,-0.06410801
Adult_0323_130pm,1521826177133807,1521826818803480,All_of_Practice_trial_1,1,0.1396965,-0.01319498,1,0.003910054,-0.06337469
Adult_0323_130pm,1521826177150431,1521826818820106,All_of_Practice_trial_1,1,0.1339192,-0.03755631,1,0.001343635,-0.06505035
Adult_0323_130pm,1521826177167054,1521826818836730,All_of_Practice_trial_1,1,0.1362129,-0.02776557,1,0.002587393,-0.05850653
Adult_0323_130pm,1521826177183683,1521826818853361,All_of_Practice_trial_1,1,0.1301001,-0.031877,1,0.000586724,-0.07309809
Adult_0323_130pm,1521826177200433,1521826818870112,All_of_Practice_trial_1,1,0.1376735,-0.02684467,1,0.007178099,-0.06972165
Adult_0323_130pm,1521826177217059,1521826818886740,All_of_Practice_trial_1,1,0.13765,-0.03991432,1,-0.003200518,-0.07694609
Adult_0323_130pm,1521826177233684,1521826818903366,All_of_Practice_trial_1,1,0.1323186,-0.02599985,1,-0.0005380593,-0.05580246
Adult_0323_130pm,1521826177250310,1521826818919994,All_of_Practice_trial_1,1,0.1372338,-0.02134166,1,0.01181077,-0.06689443
Adult_0323_130pm,1521826177266936,1521826818936621,All_of_Practice_trial_1,1,0.1392621,-0.021494,1,0.01043296,-0.07021492
Adult_0323_130pm,1521826177283687,1521826818953374,All_of_Practice_trial_1,1,0.1403536,-0.02230084,1,0.005123948,-0.0685957
Adult_0323_130pm,1521826177300310,1521826818969998,All_of_Practice_trial_1,1,0.1424006,-0.02995887,1,0.007022684,-0.07014382
